City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,georgetown,5.4112,100.3354,32.00999999999999,83,20,0.0,MY,2024-4-102
112,bredasdorp,-34.5322,20.0403,17.720000000000027,67,0,4.61,ZA,2024-4-102
113,bata,1.8639,9.7658,30.05000000000001,88,100,3.55,GQ,2024-4-102
114,berdigestyakh,62.0989,126.6992,-6.670000000000016,94,100,3.86,RU,2024-4-102
115,west island,-12.1568,96.8225,30.139999999999986,78,68,3.09,CC,2024-4-102
116,lata,40.1629,-8.3327,21.99000000000001,73,89,1.55,PT,2024-4-102
117,mana,5.6592,-53.7767,32.160000000000025,71,99,4.54,GF,2024-4-102
118,floro,61.5996,5.0328,11.189999999999998,87,75,8.23,NO,2024-4-102
119,kontcha,7.9667,12.2333,33.76999999999998,14,93,0.74,CM,2024-4-102
120,nantucket,41.2835,-70.0995,14.20999999999998,95,75,4.12,US,2024-4-102
121,san andres,12.5847,-81.7006,35.160000000000025,62,20,6.69,CO,2024-4-102
122,black point,-34.6187,137.8972,18.149999999999977,67,83,2.46,AU,2024-4-102
123,koubia,11.5833,-11.9,31.610000000000014,39,29,0.49,GN,2024-4-102
124,murzuq,25.9155,13.9184,27.75999999999999,14,0,7.64,LY,2024-4-102
125,leiyang,26.4024,112.8591,23.44999999999999,98,94,1.47,CN,2024-4-102
126,guarapari,-20.6667,-40.4975,31.980000000000018,73,23,2.13,BR,2024-4-102
127,coquimbo,-29.9533,-71.3436,19.970000000000027,75,3,3.69,CL,2024-4-102
128,nema,57.5067,50.5011,11.720000000000027,79,0,4.32,RU,2024-4-102
129,fale old settlement,-9.3852,-171.2468,32.56,77,34,2.75,TK,2024-4-102
130,makokou,0.5738,12.8642,26.149999999999977,96,100,1.53,GA,2024-4-102
131,novaya igirma,57.1334,103.9112,-1.6399999999999864,97,100,0.92,RU,2024-4-102
132,aswan,24.0934,32.907,28.75999999999999,18,20,4.72,EG,2024-4-102
133,birjand,32.8663,59.2211,19.410000000000025,59,40,5.14,IR,2024-4-102
134,margate,51.3813,1.3862,16.410000000000025,85,86,3.58,GB,2024-4-102
135,kourou,5.1552,-52.6478,33.18000000000001,76,100,3.38,GF,2024-4-102
136,jamestown,42.097,-79.2353,23.920000000000016,79,100,4.63,US,2024-4-102
137,igarka,67.4667,86.5833,-25.169999999999987,100,53,2.24,RU,2024-4-102
138,la maddalena,41.2142,9.4083,15.240000000000009,68,18,1.28,IT,2024-4-102
139,ondjiva,-17.0667,15.7333,29.00999999999999,51,80,4.95,AO,2024-4-102
